iter	Passed	Remaining
0	14	14615
1	25	12863
2	40	13373
3	55	13709
4	69	13845
5	83	13836
6	96	13746
7	108	13499
8	122	13504
9	136	13525
10	151	13606
11	167	13772
12	182	13865
13	197	13940
14	213	14011
15	231	14207
16	248	14376
17	268	14644
18	283	14625
19	299	14652
20	312	14575
21	326	14517
22	338	14392
23	361	14696
24	376	14691
25	390	14626
26	403	14531
27	418	14540
28	434	14534
29	450	14572
30	467	14622
31	483	14611
32	499	14645
33	516	14671
34	531	14652
35	547	14649
36	566	14734
37	583	14769
38	598	14758
39	614	14738
40	628	14701
41	644	14692
42	658	14645
43	674	14654
44	688	14617
45	701	14540
46	714	14488
47	728	14455
48	743	14429
49	759	14423
50	778	14492
51	796	14525
52	811	14490
53	825	14460
54	840	14439
55	855	14413
56	869	14382
57	885	14377
58	904	14425
59	933	14619
60	952	14655
61	968	14648
62	990	14729
63	1008	14745
64	1027	14779
65	1044	14783
66	1063	14806
67	1081	14819
68	1098	14816
69	1113	14789
70	1129	14781
71	1148	14798
72	1166	14809
73	1184	14817
74	1207	14892
75	1230	14957
76	1250	14990
77	1270	15021
78	1299	15144
79	1324	15232
80	1355	15382
81	1383	15488
82	1404	15513
83	1431	15614
84	1479	15926
85	1512	16079
86	1535	16113
87	1560	16172
88	1577	16149
89	1590	16079
90	1605	16037
91	1622	16011
92	1637	15968
93	1652	15925
94	1668	15894
95	1683	15853
96	1698	15813
97	1714	15776
98	1730	15749
99	1746	15715
100	1761	15676
101	1775	15635
102	1790	15595
103	1806	15561
104	1822	15532
105	1836	15488
106	1850	15447
107	1871	15459
108	1888	15440
109	1904	15407
110	1920	15383
111	1938	15367
112	1953	15330
113	1969	15304
114	1984	15271
115	1998	15227
116	2012	15191
117	2030	15178
118	2045	15145
119	2061	15117
120	2076	15086
121	2092	15058
122	2110	15045
123	2140	15123
124	2164	15152
125	2189	15190
126	2221	15267
127	2253	15354
128	2275	15367
129	2309	15454
130	2335	15493
131	2369	15578
132	2388	15572
133	2415	15612
134	2446	15677
135	2469	15686
136	2487	15671
137	2506	15655
138	2524	15638
139	2539	15597
140	2557	15577
141	2572	15544
142	2588	15511
143	2602	15472
144	2618	15441
145	2634	15410
146	2650	15377
147	2666	15347
148	2681	15312
149	2695	15275
150	2711	15243
151	2728	15222
152	2742	15180
153	2755	15139
154	2769	15095
155	2783	15059
156	2797	15021
157	2812	14989
158	2828	14960
159	2842	14923
160	2855	14880
161	2869	14843
162	2884	14811
163	2900	14782
164	2914	14750
165	2929	14717
166	2943	14683
167	2961	14668
168	2990	14707
169	3038	14833
170	3072	14896
171	3100	14924
172	3114	14890
173	3135	14883
174	3154	14871
175	3175	14868
176	3195	14856
177	3217	14860
178	3237	14850
179	3260	14854
180	3277	14830
181	3298	14825
182	3316	14804
183	3334	14787
184	3352	14767
185	3369	14744
186	3386	14721
187	3407	14718
188	3425	14700
189	3453	14723
190	3473	14713
191	3495	14710
192	3516	14704
193	3535	14687
194	3556	14680
195	3588	14720
196	3616	14740
197	3637	14733
